id,name,region
MDV,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Europe
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MEX,Mexico,North America
MNG,Mongolia,Central and Northern Asia
MDA,Moldova,Europe
MNE,Montenegro,Europe
MSR,Montserrat,Caribbean and Central America
MAR,Morocco,Middle East and North Africa
MOZ,Mozambique,Sub-Saharan Africa
OMN,Oman,Middle East and North Africa
NAM,Namibia,Sub-Saharan Africa
NRU,Nauru,Oceania
NPL,Nepal,South Asia
NLD,Netherlands,Europe
CUW,Curacao,Caribbean and Central America
ABW,Aruba,Caribbean and Central America
SXM,Sint Maarten (Dutch part),Caribbean and Central America
BES,Bonaire,Caribbean and Central America
NCL,New Caledonia,Oceania
VUT,Vanuatu,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,Caribbean and Central America
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
NIU,Niue,Oceania
NFK,Norfolk Isds,Oceania
NOR,Norway,Europe
MNP,N. Mariana Isds,Oceania
UMI,United States Minor Outlying Isds,Oceania
FSM,Micronesia,Oceania
MHL,Marshall Isds,Oceania
PLW,Palau,Oceania
PAK,Pakistan,South Asia
PAN,Panama,Caribbean and Central America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,Southeast Asia
PCN,Pitcairn,Oceania
POL,Poland,Europe
PRT,Portugal,Europe
GNB,Guinea-Bissau,Sub-Saharan Africa
TLS,Timor-Leste,Southeast Asia
QAT,Qatar,Middle East and North Africa
ROU,Romania,Europe
RUS,Russian Federation,Central and Northern Asia
RWA,Rwanda,Sub-Saharan Africa
BLM,Saint-Barthelemy,Caribbean and Central America
SHN,Saint Helena,Sub-Saharan Africa
KNA,Saint Kitts and Nevis,Caribbean and Central America
AIA,Anguilla,Caribbean and Central America
LCA,Saint Lucia,Caribbean and Central America
SPM,Saint Pierre and Miquelon,North America
VCT,Saint Vincent and the Grenadines,Caribbean and Central America
SMR,San Marino,Europe
STP,Sao Tome and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East and North Africa
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe
SYC,Seychelles,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
IND,India,South Asia
SGP,Singapore,Southeast Asia
SVK,Slovakia,Europe
VNM,Vietnam,Southeast Asia
SVN,Slovenia,Europe
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
ESP,Spain,Europe
SSD,South Sudan,Sub-Saharan Africa
SDN,Sudan,Sub-Saharan Africa
ESH,Western Sahara,Middle East and North Africa
SUR,Suriname,South America
SWZ,Swaziland,Sub-Saharan Africa
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Middle East and North Africa
TJK,Tajikistan,Central and Northern Asia
THA,Thailand,Southeast Asia
TGO,Togo,Sub-Saharan Africa
TKL,Tokelau,Oceania
TON,Tonga,Oceania
TTO,Trinidad and Tobago,Caribbean and Central America
ARE,United Arab Emirates,Middle East and North Africa
TUN,Tunisia,Middle East and North Africa
TUR,Turkey,Europe
TKM,Turkmenistan,Central and Northern Asia
TCA,Turks and Caicos Isds,Caribbean and Central America
TUV,Tuvalu,Oceania
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Central and Northern Asia
MKD,"Macedonia, FYR",Europe
EGY,Egypt,Middle East and North Africa
GBR,United Kingdom,Europe
TZA,Tanzania,Sub-Saharan Africa
USA,United States,North America
BFA,Burkina Faso,Sub-Saharan Africa
URY,Uruguay,South America
UZB,Uzbekistan,Central and Northern Asia
VEN,Venezuela,South America
WSM,Samoa,Oceania
YEM,Yemen,Middle East and North Africa
ZMB,Zambia,Sub-Saharan Africa
WLF,Wallis and Futuna Isds,Oceania
